Threat Group,Technique Used,Mitigation,Mitigation Description
APT29,Non-Application Layer Protocol,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Non-Application Layer Protocol,Standard Non-Application Layer Protocol Mitigation,"Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports and through proper network gateway systems. Also ensure hosts are only provisioned to communicate over authorized interfaces.

Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools. (Citation: University of Birmingham C2)"
APT29,Non-Application Layer Protocol,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Bidirectional Communication,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Bidirectional Communication,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Malware,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Spearphishing Attachment,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Spearphishing Attachment,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Spearphishing Attachment,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT29,Spearphishing Attachment,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Spearphishing Attachment,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,SMB/Windows Admin Shares,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.
APT29,SMB/Windows Admin Shares,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
APT29,SMB/Windows Admin Shares,Password Policies,Set and enforce secure password policies for accounts.
APT29,SMB/Windows Admin Shares,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Multi-hop Proxy,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.
APT29,Indicator Removal,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Indicator Removal,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.
APT29,Indicator Removal,Indicator Removal on Host Mitigation,"Automatically forward events to a log server or data repository to prevent conditions in which the adversary can locate and manipulate data on the local system. When possible, minimize time delay on event reporting to avoid prolonged storage on the local system. Protect generated event files that are stored locally with proper permissions and authentication and limit opportunities for adversaries to increase privileges by preventing Privilege Escalation opportunities. Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary."
APT29,Indicator Removal,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT29,SAML Tokens,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,SAML Tokens,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
APT29,SAML Tokens,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,SAML Tokens,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Windows Management Instrumentation Event Subscription,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT29,Windows Management Instrumentation Event Subscription,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Windows Management Instrumentation Event Subscription,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Domain Trust Modification,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Match Legitimate Name or Location,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Match Legitimate Name or Location,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Match Legitimate Name or Location,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT29,Local Accounts,Password Policies,Set and enforce secure password policies for accounts.
APT29,Local Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Deobfuscate/Decode Files or Information,Deobfuscate/Decode Files or Information Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to deobfuscate or decode files or information, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Credentials,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Credentials from Password Stores,Password Policies,Set and enforce secure password policies for accounts.
APT29,Mark-of-the-Web Bypass,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Mark-of-the-Web Bypass,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Visual Basic,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Visual Basic,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Visual Basic,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Visual Basic,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Visual Basic,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT29,Pass the Ticket,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Pass the Ticket,Password Policies,Set and enforce secure password policies for accounts.
APT29,Pass the Ticket,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Pass the Ticket,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
APT29,Web Shell,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Web Shell,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Data from Information Repositories,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Data from Information Repositories,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Data from Information Repositories,Data from Information Repositories Mitigation,"To mitigate adversary access to information repositories for collection:

* Develop and publish policies that define acceptable information to be stored
* Appropriate implementation of access control mechanisms that include both authentication and appropriate authorization
* Enforce the principle of least-privilege
* Periodic privilege review of accounts
* Mitigate access to [Valid Accounts](https://attack.mitre.org/techniques/T1078) that may be used to access repositories"
APT29,Data from Information Repositories,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Device Registration,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Malicious File,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT29,Malicious File,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Malicious File,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Timestomp,Timestomp Mitigation,Mitigation of timestomping specifically is likely difficult. Efforts should be focused on preventing potentially malicious software from running. Identify and block potentially malicious software that may contain functionality to perform timestomping by using whitelisting (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)
APT29,File Deletion,File Deletion Mitigation,"Identify unnecessary system utilities, third-party tools, or potentially malicious software that may be used to delete files, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Tool,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Domains,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Credentials from Web Browsers,Password Policies,Set and enforce secure password policies for accounts.
APT29,System Information Discovery,System Information Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about the operating system and underlying hardware, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Cloud Account,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Cloud Account,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Email Accounts,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Bypass User Account Control,Update Software,Perform regular software updates to mitigate exploitation risk.
APT29,Bypass User Account Control,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.
APT29,Bypass User Account Control,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Bypass User Account Control,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Exploit Public-Facing Application,Exploit Public-Facing Application Mitigation,"Application isolation and least privilege help lesson the impact of an exploit. Application isolation will limit what other processes and system features the exploited target can access, and least privilege for service accounts will limit what permissions the exploited process gets on the rest of the system. Web Application Firewalls may be used to limit exposure of applications.

Segment externally facing servers and services from the rest of the network with a DMZ or on separate hosting infrastructure.

Use secure coding best practices when designing custom software that is meant for deployment to externally facing systems. Avoid issues documented by OWASP, CWE, and other software weakness identification efforts.

Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and through public disclosure."
APT29,Exploit Public-Facing Application,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT29,Exploit Public-Facing Application,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.
APT29,Exploit Public-Facing Application,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Exploit Public-Facing Application,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Exploit Public-Facing Application,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
APT29,Exploit Public-Facing Application,Update Software,Perform regular software updates to mitigate exploitation risk.
APT29,Domain Accounts,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Domain Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Domain Accounts,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Kerberoasting,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Kerberoasting,Password Policies,Set and enforce secure password policies for accounts.
APT29,Kerberoasting,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT29,Web Cookies,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Web Cookies,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT29,DCSync,Password Policies,Set and enforce secure password policies for accounts.
APT29,DCSync,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
APT29,DCSync,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Dynamic Resolution,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Dynamic Resolution,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Account Discovery,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT29,Account Discovery,Account Discovery Mitigation,"Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located <code>HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators</code>. It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: E numerate administrator accounts on elevation. (Citation: UCF STIG Elevation Account Enumeration)

Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about system and domain accounts, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Steganography,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Disable or Modify System Firewall,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.
APT29,Disable or Modify System Firewall,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Disable or Modify System Firewall,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Archive via Utility,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Cloud Accounts,Password Policies,Set and enforce secure password policies for accounts.
APT29,Cloud Accounts,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Cloud Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Cloud Accounts,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Cloud Accounts,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,File and Directory Discovery,File and Directory Discovery Mitigation,"File system activity is a common part of an operating system, so it is unlikely that mitigation would be appropriate for this technique. It may still be beneficial to identify and block unnecessary system utilities or potentially malicious software by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Disable or Modify Tools,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Disable or Modify Tools,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Disable or Modify Tools,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.
APT29,Disable or Modify Tools,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Exploitation for Client Execution,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT29,Exploitation for Client Execution,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
APT29,Exploitation for Client Execution,Exploitation for Client Execution Mitigation,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. (Citation: Windows Blogs Microsoft Edge Sandbox) (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility."
APT29,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)"
APT29,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.
